hts8,naics_str,import_value_2017_china,naics_import_total_2017_china,hs8_naics_weight
6109.90.15,315220,2.834243,6457.105895,0.0004389339506100821
6109.90.15,315240,2.361474,18029.104548,0.0001309812139428723
6109.90.40,315220,1.2834729999999999,6457.105895,0.00019876908027694656
6109.90.40,315240,3.435567,18029.104548,0.0001905567184911085
6109.90.80,315220,3.198619,6457.105895,0.0004953641851339035
6109.90.80,315240,6.460729,18029.104548,0.00035834996590092434
6110.11.00,315220,88.27483099999999,6457.105895,0.013670959162734933
6110.11.00,315240,178.559364,18029.104548,0.009903950777178665
6110.12.10,315220,42.540204,6457.105895,0.006588122402164818
6110.12.10,315240,227.849936,18029.104548,0.012637895320501417
6110.12.20,315220,1.8578649999999999,6457.105895,0.0002877241027499054
6110.12.20,315240,10.870789,18029.104548,0.0006029577881174312
6110.19.00,315220,4.7225269999999995,6457.105895,0.000731368987406083
6110.19.00,315240,8.819325,18029.104548,0.0004891715490650001
6110.20.10,315220,1.691441,6457.105895,0.00026195032689641217
6110.20.10,315240,3.41136,18029.104548,0.00018921405613449773
6110.20.20,315220,733.76183,6457.105895,0.11363633211717679
6110.20.20,315240,1537.676081,18029.104548,0.08528854424833746
6110.30.10,315220,1.235278,6457.105895,0.00019130521011844119
6110.30.10,315240,2.374346,18029.104548,0.00013169517064359087
6110.30.15,315220,19.305539,6457.105895,0.002989812977196032
6110.30.15,315240,95.462125,18029.104548,0.00529488997891411
6110.30.20,315220,1.186542,6457.105895,0.00018375755629449842
6110.30.20,315240,3.552781,18029.104548,0.00019705809517833853
6110.30.30,315220,284.228957,6457.105895,0.04401801079646069
6110.30.30,315240,1297.13109,18029.104548,0.07194650663578814
6110.90.10,315220,9.412898,6457.105895,0.0014577580348014412
6110.90.10,315240,18.006995,18029.104548,0.0009987736746469502
6110.90.90,315220,9.219908,6457.105895,0.0014278700318573606
6110.90.90,315240,178.238224,18029.104548,0.009886138467136034
6111.20.10,315240,6.583034,18029.104548,0.0003651337193410566
6111.20.20,315240,8.192338,18029.104548,0.0004543951685558776
6111.20.30,315240,43.370914,18029.104548,0.002405605552096663
6111.20.40,315240,19.625211,18029.104548,0.0010885294357104974
6111.20.50,315240,40.302347,18029.104548,0.002235404808525047
6111.20.60,315110,39.969885,1380.9154919999999,0.028944483012578154
6111.20.60,315240,581.051877,18029.104548,0.032228548869580834
6111.30.10,315240,1.921046,18029.104548,0.00010655249099507303
