naics,naics_str,naics_desc,R0_2017,S0_2017,E0_2017,T0_2017,R0_2018,S0_2018,E0_2018,T0_2018,R0,S0,E0,T0
3333.0,3333,Commercial and Service Industry Machinery Manufacturing,0.0,0.0011488564095979313,0.0011239914054419332,0.0,0.006638952759523105,0.028125657490652343,0.02346707463984709,0.029848204907604668,0.0066389525,0.026976801,0.022343082,0.029848205
3334.0,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",0.0,2.9794801254387905e-05,0.0018277116595525466,0.0,0.006434504183621199,0.03204146618725894,0.03006122855701404,0.03604598828785333,0.0064345044,0.032011673,0.028233517,0.036045987
3335.0,3335,Metalworking Machinery Manufacturing,0.0,0.0045228427845558335,0.004338307880734139,0.0,0.007991771474013691,0.027682416787743313,0.025214643646359943,0.02410254776250903,0.007991771,0.023159575,0.020876335,0.024102548
3336.0,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.0,0.0006699761118115744,0.0016705610079296785,0.0,0.003251126481027544,0.02133803986039131,0.020528920631554388,0.02246006540146197,0.0032511265,0.020668063,0.01885836,0.022460066
3339.0,3339,Other General Purpose Machinery Manufacturing,0.0,0.0003927045747876387,0.0006511728049013972,0.0,0.006273520100018366,0.02951647949705921,0.027277513998024902,0.030198009099038803,0.00627352,0.029123776,0.026626341,0.03019801
3341.0,3341,Computer and Peripheral Equipment Manufacturing,0.0,3.1837300808215496e-07,3.4822971551084447e-07,0.0,0.004469209547343711,0.012138024476802725,0.010747975292404871,0.013835890736186473,0.0044692094,0.012137706,0.010747627,0.013835891
3342.0,3342,Communications Equipment Manufacturing,0.0,0.00022518841311738533,0.00022150031468149998,0.0,0.006100441713776009,0.004728446258561942,0.0035779809349934994,0.008168132662593627,0.006100442,0.004503258,0.0033564805,0.008168133
3343.0,3343,Audio and Video Equipment Manufacturing,0.0,0.0002729518376634895,0.0005816767481808945,0.0,0.0018985792152956752,0.004839041253182198,0.0042159901432048666,0.005662722053695651,0.0018985792,0.0045660893,0.0036343134,0.005662722
3344.0,3344,Semiconductor and Other Electronic Component Manufacturing,0.0,0.00011268443336007578,0.00039829363132719,0.0,0.0026476677215115916,0.03540348087691598,0.026977290270603322,0.03914191047223341,0.0026476677,0.035290796,0.026578996,0.039141912
3345.0,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",0.0,0.0001159868027285774,0.0006025628117441513,0.0,0.010434935296925681,0.02454867964526153,0.02243527725528619,0.0248086658373708,0.010434935,0.024432693,0.021832714,0.024808666
3346.0,3346,Manufacturing and Reproducing Magnetic and Optical Media,0.0,0.0,0.0,0.0,0.006931056621152714,0.00037218864665059583,0.00030904327162433745,0.0004652365848465981,0.0069310567,0.00037218866,0.00030904327,0.00046523658
3351.0,3351,Electric Lighting Equipment Manufacturing,0.0,0.016243811132162275,0.024594493301901676,0.0,0.00927488404732092,0.05863903662898615,0.06256756658168229,0.052923753466549685,0.009274884,0.042395227,0.037973072,0.052923754
3352.0,3352,Household Appliance Manufacturing,0.0,0.0021490849250132642,0.007715645063054195,0.0,0.013312288555815949,0.033936602211307454,0.02242233403232221,0.03618133502452462,0.013312289,0.03178752,0.014706689,0.036181334
3353.0,3353,Electrical Equipment Manufacturing,0.0,0.004480940939110966,0.0050452825621523515,0.0,0.005343731813075955,0.03758814146274087,0.03343853324805004,0.03468443094473322,0.005343732,0.0331072,0.02839325,0.03468443
3359.0,3359,Other Electrical Equipment and Component Manufacturing,0.0,0.0044657570695671115,0.004607372135383483,0.0,0.00998635766287862,0.04774740382023243,0.04329812755626559,0.046912241310448424,0.009986358,0.04328165,0.038690757,0.04691224
3361.0,3361,Motor Vehicle Manufacturing,0.0,0.00020558523132264232,0.00020038653566901497,0.0,0.03751266717489296,0.0022369991062582066,0.0015818329255282665,0.0020317932058899224,0.037512667,0.0020314138,0.0013814464,0.0020317931
3362.0,3362,Motor Vehicle Body and Trailer Manufacturing,0.0,0.002994154121645227,0.0027494608828043123,0.0,0.0007750737268646233,0.01880230969817056,0.015705565872159856,0.019765920400171673,0.0007750737,0.015808156,0.012956105,0.019765921
3363.0,3363,Motor Vehicle Parts Manufacturing,0.0,0.0013453270152383864,0.002421204048751715,0.0,0.004078094477037023,0.011861214007430763,0.011584286540271736,0.012591977988841084,0.0040780944,0.010515887,0.009163083,0.012591978
3364.0,3364,Aerospace Product and Parts Manufacturing,0.0,0.0,1.389773984053061e-06,0.0,2.549251898529638e-08,0.004355355250613173,0.004349376256505185,0.004355458340429635,2.5492518e-08,0.004355355,0.0043479865,0.0043554585
